Rank,Player Name,Pos,Opp,$,AVG ADP,Trend,Points,YDS,YPC,Rush,REC,TD,YPR,Rec/Tar Game,QB Att/Game,QB YPC
132,Darius Slayton,WR,@WAS,5,278,no change,5.7,35,0.0,N/A,3,N/A,13.9,2.5/0.0,0.0,0.0
133,Chig Okonkwo,TE,@DEN,4,179,no change,6.9,39,0.0,N/A,4,N/A,10.3,3.8/0.0,0.0,0.0
134,KaVontae Turpin,WR,@PHI,4,0,no change,3.5,22,6.3,1,1,N/A,11.9,1.4/0.0,0.0,0.0
135,DeAndre Hopkins,WR,@BUF,4,212,no change,6.6,37,0.0,N/A,3,N/A,13.3,2.8/0.0,0.0,0.0
136,Michael Wilson,WR,@NO,4,219,no change,6.3,35,0.0,N/A,3,N/A,13.1,2.7/0.0,0.0,0.0
137,Rachaad White,RB,@ATL,4,146,no change,7.0,40,4.0,6,2,N/A,7.8,2.2/0.0,0.0,0.0
138,Kareem Hunt,RB,@LAC,4,184,no change,3.3,19,3.8,3,1,N/A,6.8,0.9/0.0,0.0,0.0
139,Jacory Croskey-Merritt,RB,NYG,4,101,no change,7.3,46,4.3,8,2,N/A,7.3,1.5/0.0,0.0,0.0
140,Tutu Atwell,WR,HOU,4,0,no change,3.8,23,0.0,N/A,2,N/A,13.4,1.7/0.0,0.0,0.0
141,Andrei Iosivas,WR,@CLE,4,265,no change,4.3,24,0.0,N/A,2,N/A,11.6,2.1/0.0,0.0,0.0
142,Luther Burden III,WR,MIN,4,164,no change,5.7,32,0.0,N/A,3,N/A,12.2,2.6/0.0,0.0,0.0
143,Tyler Lockett,WR,@DEN,4,205,no change,5.3,31,0.0,N/A,3,N/A,11.3,2.7/0.0,0.0,0.0
144,Alec Pierce,WR,MIA,4,218,no change,4.6,30,0.0,N/A,2,N/A,15.5,1.9/0.0,0.0,0.0
145,Justice Hill,RB,@BUF,3,250,no change,3.7,19,4.1,2,2,N/A,7.6,1.6/0.0,0.0,0.0
146,Dalton Schultz,TE,@LAR,3,228,no change,7.6,42,0.0,N/A,4,N/A,10.5,4.0/0.0,0.0,0.0
147,Juwan Johnson,TE,ARI,3,0,no change,6.6,36,0.0,N/A,3,N/A,10.5,3.4/0.0,0.0,0.0
148,Rico Dowdle,RB,@JAX,3,196,no change,6.3,40,4.2,7,2,N/A,6.2,1.6/0.0,0.0,0.0
149,Tory Horton,WR,SF,3,223,no change,5.4,30,0.0,N/A,3,N/A,11.6,2.6/0.0,0.0,0.0
150,Bhayshul Tuten,RB,CAR,3,145,no change,5.2,32,4.3,6,1,N/A,7.3,1.1/0.0,0.0,0.0
151,Olamide Zaccheaus,WR,MIN,3,0,no change,4.9,27,0.0,N/A,2,N/A,11.7,2.3/0.0,0.0,0.0
152,Brian Robinson Jr.,RB,@SEA,3,117,no change,5.4,30,4.1,6,1,N/A,6.9,1.0/0.0,0.0,0.0
153,Mike Gesicki,TE,@CLE,3,235,no change,6.7,38,0.0,N/A,4,N/A,10.8,3.5/0.0,0.0,0.0
154,Cam Skattebo,RB,@WAS,3,102,no change,6.0,40,4.5,7,2,N/A,7.1,1.5/0.0,0.0,0.0
155,Dyami Brown,WR,CAR,3,0,no change,6.0,34,0.0,N/A,3,N/A,11.8,2.9/0.0,0.0,0.0
156,Theo Johnson,TE,@WAS,3,273,no change,5.9,32,0.0,N/A,3,N/A,11.0,2.9/0.0,0.0,0.0
157,Kayshon Boutte,WR,LV,3,0,no change,5.7,33,0.0,N/A,3,N/A,12.3,2.7/0.0,0.0,0.0
158,Will Shipley,RB,DAL,3,203,no change,3.6,22,4.3,4,1,N/A,6.7,0.9/0.0,0.0,0.0
159,Ray Davis,RB,BAL,3,160,no change,4.7,29,4.2,5,1,N/A,8.2,1.1/0.0,0.0,0.0
160,Sterling Shepard,WR,@ATL,3,0,no change,4.7,25,0.0,N/A,2,N/A,12.1,2.1/0.0,0.0,0.0
161,Elic Ayomanor,WR,@DEN,3,239,rising,4.9,30,0.0,N/A,2,N/A,12.8,2.3/0.0,0.0,0.0
162,Tyler Allgeier,RB,TB,3,165,rising,4.8,29,4.0,6,1,N/A,7.4,0.5/0.0,0.0,0.0
163,Calvin Austin III,WR,@NYJ,2,0,rising,6.1,36,0.0,N/A,3,N/A,14.0,2.6/0.0,0.0,0.0
164,Mason Taylor,TE,PIT,2,208,rising,5.3,29,0.0,N/A,3,N/A,9.9,2.9/0.0,0.0,0.0
165,Kyle Williams,WR,LV,2,190,rising,3.8,23,0.0,N/A,2,N/A,12.7,1.8/0.0,0.0,0.0
166,Tre Tucker,WR,@NE,2,0,rising,2.5,15,0.0,N/A,1,N/A,12.6,1.2/0.0,0.0,0.0
167,AJ Barner,TE,SF,2,0,rising,4.0,22,0.0,N/A,2,N/A,9.7,2.3/0.0,0.0,0.0
168,Josh Reynolds,WR,PIT,2,0,rising,4.9,28,0.0,N/A,2,N/A,11.5,2.4/0.0,0.0,0.0
169,Hunter Renfrow,WR,@JAX,2,0,rising,6.0,35,0.0,N/A,3,N/A,11.2,3.1/0.0,0.0,0.0
170,Raheem Mostert,RB,@NE,2,247,rising,4.6,29,4.2,5,1,N/A,6.8,1.0/0.0,0.0,0.0
171,Tyler Higbee,TE,HOU,2,0,rising,4.3,21,0.0,N/A,2,N/A,9.0,2.3/0.0,0.0,0.0
172,Isaac TeSlaa,WR,@GB,2,200,rising,3.5,20,0.0,N/A,2,N/A,12.2,1.6/0.0,0.0,0.0
173,Noah Brown,WR,NYG,2,0,rising,4.9,29,0.0,N/A,2,N/A,13.3,2.2/0.0,0.0,0.0
174,Xavier Hutchinson,WR,@LAR,2,0,rising,5.3,31,0.0,N/A,3,N/A,12.0,2.6/0.0,0.0,0.0
175,Keaton Mitchell,RB,@BUF,2,243,rising,4.4,26,4.6,4,1,N/A,8.4,1.0/0.0,0.0,0.0
176,Khadarel Hodge,WR,TB,2,0,rising,1.4,8,0.0,N/A,1,N/A,10.1,0.8/0.0,0.0,0.0
177,Pat Bryant,WR,TEN,2,240,rising,4.1,24,0.0,N/A,2,N/A,12.7,1.9/0.0,0.0,0.0
178,Jaydon Blue,RB,N/A,2,139,no change,0.0,32,4.2,5,1,N/A,7.4,1.3/0.0,0.0,0.0
179,Dontayvion Wicks,WR,DET,2,0,no change,3.0,18,0.0,N/A,1,N/A,12.8,1.4/0.0,0.0,0.0
180,Jaylin Noel,WR,@LAR,2,252,no change,3.8,23,0.0,N/A,2,N/A,11.9,1.9/0.0,0.0,0.0
181,JuJu Smith-Schuster,WR,@LAC,2,0,no change,4.4,24,0.0,N/A,2,N/A,11.1,2.2/0.0,0.0,0.0
